Session,Date Entered,Who Entered,Date Checked,Who Checked,Lion Interest,Drop From Analysis,Notes,Complete?,Distances only
s14471,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s14472,1/18/19,kdsl,,,,FALSE,ERROR: lion in different session?,TRUE,TRUE
s14535,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s14673,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s15284,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
S15479,4/20/18,Sam,,,Somewhat,FALSE,"only lion interaction is a note that Veni steals a zebra leg from the lions. 
Then the rest of it is just distances and some whoop.",TRUE,FALSE
S15702,4/30/18,KAK,,,Not at all,FALSE,Lions leave almost immediately.,TRUE,FALSE
s16008,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
S16012,6/14/18,SAM,,,Very,FALSE,"""incomplete Cis on this crazy session""
A couple of mobs but session quickly ends at 8:49 when lions are last mentioned",TRUE,FALSE
s16055,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
s1606,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s16089,1/17/19,kdsl,,,Over200m,FALSE,ERROR: lion not within 200m of the hyenas. Should be in own session?,TRUE,TRUE
s16090,1/17/19,kdsl,,,Over200m,FALSE,ERROR: do lions over 200m away get their own session?,TRUE,TRUE
s16093,1/17/19,kdsl,,,Over200m,FALSE,ERROR: lions should have their own session,TRUE,TRUE
S16097,4/30/18,KAK,,,Not at all,TRUE,This was a failed real lion experiment. The lions and hyenas never really interacted and the jackels were the only ones who arrived because of the playbacks.,TRUE,FALSE
S16119,4/20/18,Sam,,,Somewhat,FALSE,Mob is all UNID's and pretty short session,TRUE,FALSE
S16215,5/17/18,KAK,,,Very,FALSE,Lions and hyenas squabble over a topi carcass. Hyenas gang up on lions and end up stealing multiple scraps. Lions end up leaving 5 minutes into the session.,TRUE,FALSE
s16244,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
S16267,4/20/18,Sam,16-May-18,KDSL,Somewhat,FALSE,"scan at 9:46 is all hyenas distance to carcass, assuming lions are at carcass?",TRUE,FALSE
s16268,1/17/19,kdsl,,,,FALSE,"distance inferred because ""lady got a few bites before a lioness chased him off""",TRUE,TRUE
s16278,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
S16281,4/30/18,KAK,16-May-18,KDSL,Not at all,TRUE,No interaction. Hyenas playing with each other in the tall grass.,TRUE,FALSE
s16282,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
s16292,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
S16318,4/20/18,Sam,,,Somewhat,FALSE,"Got a couple mobs for the gnu carcass, and then lions just wander away.",TRUE,FALSE
s16338,5/17/18,KAK,,,Somewhat,TRUE,Almost nothing other than scans are recorded and the distances are vague. Every scan notes that more hyenas are present than are listed so it was impossible to really determine when anyone actually left the scene.,TRUE,FALSE
S16358,4/30/18,Sam,05-Jun-18,KDSL,Very,FALSE,"There was a mob a whole bunch of brt soc snf.

5 lions, two subadult male lions nearest to bufallo carcass feeding and the other 3 varying distances 30m, 40m, 60m for all scans",TRUE,FALSE
s16360,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
s16365,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
s16411,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s1648,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s16636,1/18/19,kdsl,,,,FALSE,Not our hyenas.,TRUE,TRUE
s16661,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
s16668,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
s16674,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
S16675,5/17/18,KAK,,,Very,FALSE,Lions and hyenas competing over hippo carcass. Hyenas chase lions away for a period. Lions mysteriously leave session sometime around 19:30 but there is no note of when.,TRUE,FALSE
s16699,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s17010,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s17125,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s18014,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s18134,1/18/19,kdsl,,,Somewhat,FALSE,,TRUE,TRUE
s18282,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s18794,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s18925,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
s18985,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
s19097,1/17/19,kdsl,,,,TRUE,No lions in this session.,TRUE,FALSE
s19339,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s19478,1/18/19,kdsl,,,,FALSE,very incomplete many other hyenas get close like trni does.,TRUE,TRUE
s19535,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s19675,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s20360,1/17/19,kdsl,,,Over200m,FALSE,ERROR: LIONS NEED OWN SESSION?,TRUE,TRUE
s20456.1,1/17/19,KDSL,,,Very,FALSE,"many hyenas get very close to the lions in mobs but they aren't Ided.
ERROR: hyenas missing from tblSessions hyena list (a lot)",TRUE,FALSE
s20522,1/18/19,kdsl,,,,FALSE,ERROR: hyena is dead so not really a lion-hyena session.,TRUE,TRUE
S20536,6/6/18,SAM,,,Somewhat,FALSE,8:20 lions shows up and leaves 8:21- so not too much data,TRUE,FALSE
S2058,4/30/18,KAK,19-Jun-18,KDSL,Very,TRUE,One interaction then lionesses move oos.,TRUE,FALSE
s20645,1/18/19,kdsl,,,Over200m,FALSE,ERROR: lion in own session,TRUE,TRUE
s20840,3/10/19,kdsl,,,,FALSE,,TRUE,TRUE
s20876,4/30/18,Sam,,,Somewhat,FALSE,"No mobs but quite a bit of brt soc snf and parallel walks.
Lion did app them at 6:37",TRUE,FALSE
S20903,5/18/18,KAK,,,Somewhat,FALSE,Lions have taken over a hyena kill. One male lion chases around a few of the hyenas over scraps but then the lions leave the mostly picked over carcass at 8:22.,TRUE,FALSE
s2098,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s2271,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s2324,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s2548,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
S2794,4/30/18,Sam,19-Jun-18,kdsl,Not at all,TRUE,"A call in was used with a lion recording, the only interaction between the lions and hyenas that arrive after the call is a lioness ""halfheartedly"" chases one of the hyenas.  No good data to pull from this session.",TRUE,FALSE
S2798,5/18/18,KAK,19-Jun-18,KDSL,Not at all,TRUE,Lionesses ignore hyenas completely and disappear from the session within minutes.,TRUE,FALSE
s2864,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s2902,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
S3177,5/18/18,Sam,19-Jun-18,KDSL,Somewhat,FALSE,only interaction is lions run off lcs from carcass and begin feeding.,TRUE,FALSE
S3179,5/18/18,KAK,19-Jun-18,KDSL,Very,FALSE,Hyenas chase lions away from carcass.,TRUE,FALSE
s3303,1/18/19,kdsl,,,Over200m,FALSE,ERROR: lion doesn't get close enough but does affect the hyena's behavior (alarm rumbles and looking),TRUE,TRUE
s3460,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s3488,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s3526,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s3620,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
S3672,5/18/18,Sam,19-Jun-18,KDSL,Somewhat,FALSE,"I made the assumption that the lions were on the kill and the distances the hyenas were from the kill at 7:51 were the distances from the lions.
There are UNID A-C
UNIDC is injured",TRUE,FALSE
s3676,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
S3834,5/18/18,KAK,19-Jun-18,KDSL,Very,FALSE,Mobs at the beginning of the session. No food present. After the mobbing the session kind of trails off but the lions remain present.,TRUE,FALSE
s3938,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
S3985,5/18/18,SAM,19-Jun-18,KDSL,Not at all,TRUE,"Bing just st/lk next to 8 lions, RA's never sawa any carcass and do not know why he is hanging around short manes lions. Bing leaves in tall grass.",TRUE,FALSE
s4031,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s4082,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s4564,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s4660,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s4663,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s4709,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s472,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
s485,1/17/19,kdsl,,,Not at all,FALSE,,TRUE,TRUE
s4886,1/18/19,kdsl,,,Over200m,FALSE,,TRUE,TRUE
s4944,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s5188,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s5280,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
S5434,5/25/18,KAK,,,Not at all,FALSE,No distances listed. Hyenas harass lions but incomplete CIs so notes are extremely vague. Hyenas split from lions early on in the session.,TRUE,FALSE
s545,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
s5609,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s5751,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
S5803,6/21/18,SAM,,,Somewhat,FALSE,Most of the session is filled with incomplete CI's and notes scattered through that don’t give a ton of info. There were two carcasses and notes were only taken at one. Some mobs of hyenas stealing the fd from lions at carcass 2 but no CI's taken besides noting that it happened.,TRUE,FALSE
s5891.1,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s5974,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s6216,1/18/19,kdsl,,,Over200m,FALSE,ERROR: lion over 500m away,TRUE,TRUE
S6220,5/25/18,KAK,,,Somewhat,FALSE,Hyena has a scrap but no real carcass present. Lioness pesters hyena but no further interactions.,TRUE,FALSE
S6325,5/18/18,Sam,,,Somewhat,FALSE,Lions are really interested in the den but almost all hyenas are oos when they arrive and the ones there are not interacting with the lions.,TRUE,FALSE
s6326,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s6395,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s642,1/17/19,kdsl,,,,FALSE,assumed lion was on carcass,TRUE,TRUE
s644,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
s648,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
s6975,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s7096,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s7390,1/18/19,kdsl,,,Over200m,FALSE,ERROR: lions should be in own session?,TRUE,TRUE
s7393,1/18/19,kdsl,,,Over200m,FALSE,ERROR: lion should be in own session?,TRUE,TRUE
s7508,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s7512,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s7790,1/18/19,kdsl,,,,FALSE,Hyenas are all 200m from the lion.  But lion is given own session? 7789 needs to be looked at.,TRUE,TRUE
s8657,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
s896,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
s953,1/17/19,kdsl,,,,FALSE,,TRUE,TRUE
s986,1/17/19,kdsl,,,Over200m,FALSE,ERROR IN TBLSESSIONS: lion should not be in same session with hyenas.,TRUE,TRUE
t1013.3,7/5/17,Sam,,,Somewhat,FALSE,Lioness with 11 cubs and 3 males. Lioness rushes 23s once. Besides that not that much information.,TRUE,FALSE
t10175,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
t1018,1/25/19,kdsl,,,,FALSE,lions roar in dist,TRUE,TRUE
t1021.7,1/25/19,kdsl,,,,FALSE,,TRUE,TRUE
t1038.3,10/7/16,LEM,,,Somewhat,FALSE,Lion interest is high but lion is only seen in the last minute. When the lion arrives all hyenas dispurse and the lion chases HD away but then gives up the chase and walks away.,TRUE,FALSE
t1040.3,1/25/19,kdsl,,,,FALSE,"Lion noises, none seen",TRUE,TRUE
t10674,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
t10682,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
t10693,1/18/19,kdsl,,,Over200m,FALSE,"ERROR: lion only heard, never seen",TRUE,TRUE
t10704,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
t10705,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
t10723.13,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
t10748,12/21/18,ART,,,Not at all,FALSE,"14 hyenas are here total and they are wandering around the lion or so around the lion, but lion is not paying too much attention",TRUE,TRUE
t10753.2,1/18/19,kdsl,,,,FALSE,"ERROR. Lions are not in t10753.2, they are in t10753.1",TRUE,TRUE
t10764.11,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
t10764.2,2/20/16,Sam,,,Not at all,FALSE,Female lion has the kill and the hyenas distances are recorded for two separate times.,TRUE,FALSE
t10764.5,3/30/16,KAK,,,Not at all,TRUE,deceased hyena,TRUE,FALSE
t10764.7,1/18/19,kdsl,,,,FALSE,ERROR: no lion here.,TRUE,TRUE
t10765,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
t10776.11,1/18/19,kdsl,,,,FALSE,ERROR: lions are in .12 NOT .11,TRUE,TRUE
t10785,1/29/16,LEM,,,Somewhat,FALSE,"I put somewhat because even though the hyenas are very interested in the lions at the beginning, for most of the session the lion is in a tree above the hyenas and then runs away. Hyenas are more interested in the carcass but not indifferent to the lion.",TRUE,FALSE
t10790.14,1/18/19,kdsl,,,,FALSE,FT hyenas,TRUE,TRUE
t10790.4,1/18/19,kdsl,,,,FALSE,ERROR: no lions,TRUE,TRUE
t10807,2/1/16,MRB,,,Very,FALSE,interest=very because there are several bloody hyenas who may have made the kill the lions then stole and are feeding on,TRUE,FALSE
t10847,3/16/16,CMF,,,Very,FALSE,"This session is noted as an interaction between hyenas who made a kill, and a male lion that stole the kill. Lion is later chased by hyenas and ultimately leaves at 0736",TRUE,FALSE
t1088.2,12/14/16,SSM,12-Jan-07,kdsl,Somewhat,FALSE,FAS BO 7:25-7:56,TRUE,FALSE
t10897,2/20/16,Sam,,,Somewhat,FALSE,"The only interaction between the lions is at 6:19 that was in a note, and no specfic hyenas were mentioned",TRUE,FALSE
t10913.1,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
t10917,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
t10941.3,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
t10945.3,1/18/19,kdsl,,,,FALSE,ERROR 10945.3? Or .31?,TRUE,TRUE
t10946.3,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
t11022,1/18/19,kdsl,,,,FALSE,,TRUE,TRUE
t11030,4/25/17,Sam,,,Not at all,TRUE,Session only really has the who was following the 2 lioness but it but no distances.,TRUE,FALSE
t11080,2/2/16,KAK,,,Somewhat,FALSE,One approach by lion on a hyena over a warthog carcass.,TRUE,FALSE
t1110.3,1/13/17,SSM,,,Very,FALSE,JF? MA? Burl? Also in notes seems ot be an SF and no hyena is named SF on this sheet.,TRUE,FALSE
t11103.2,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t11128,12/9/16,SSM,,,Very,FALSE,"intrest very? Lioness tries to get carc but is unsuccessful, Ad topi killed by lioness",TRUE,FALSE
t11163.2,1/29/16,LEM,,,Not at all,FALSE,"Hyena is within 100m and the presense of the lions make it nervous, but to the point they bo and the session ends.",TRUE,FALSE
t11163.4,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t11172.1,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t11175,10/7/16,LEM,,,Very,FALSE,"Interest is highest on hyena side, lions are feeding on carcass or so, but hyenas are highly interested in the carcass or the lions",TRUE,FALSE
t11235,12/21/18,ART,,,Not at all,FALSE,only one hyena is to be near a lion but only sits and looks at it,TRUE,TRUE
t11259,2/3/16,MRB,,,Somewhat,FALSE,"there is some interaction between the lioness and the hyenas but there is no feeding at a carcass and the lion never tries to get very close to the den, she does scent mark while sein is 10 m away from her",TRUE,FALSE
t11396.2,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t1140,11/20/17,KAK,,,Very,FALSE,"At one point 20+ hyenas and 12+ lions were present. One hyena gets bitten but not to badly. Sher is limping at one point. The session splits around 7:25 into a lion interaction session, which is what I focused on, and more of a focal animal study/feeding area over 100m away from the lions.",TRUE,FALSE
t11408,4/14/17,KAK,,,Not at all,FALSE,Baby giraffe carcass present with 2 male lions. Hyenas fighting with alien hyenas over leftover carcass. Little interaction with lions.,TRUE,FALSE
t11417.2,2/4/16,CMF,,,Somewhat,FALSE,"The hyenas repeatedly mob the lioness in this session, but every time there is no reaction from the lioness. The lioness seems to be ignoring the hyenas, but clearly it is causing the hyenas some stress.",TRUE,FALSE
t11582,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t11588,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t11649,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t11656.3,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t11661.4,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t11668.1,1/20/19,kdsl,,,,FALSE,ERROR: no lions in this sessions. Should be in session 11668.2,TRUE,TRUE
t11751,2/20/16,Sam,,,Not at all,FALSE,"The lions and hyenas distances are only mentioned, There is no interactions between the two except for the instance at 6:58 when the hyenas follow the lion",TRUE,FALSE
t11891,12/9/16,SSM,,,Very,FALSE,zebra skull all that’s left. Lions fds,TRUE,FALSE
t1190,1/25/19,kdsl,,,,FALSE,,TRUE,TRUE
t11943.1,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t1198.1,1/25/19,kdsl,,,Over200m,FALSE,lions 1km away,TRUE,TRUE
t1209,12/14/16,SSM,23-Mar-17,kdsl,Very,FALSE,"cassette and vido from 0730-0930. notes start at 0900. hyenas and 6 lions eating a zebra. ""lighting bolt guy"" also here",TRUE,FALSE
t1213,1/25/19,kdsl,,,,FALSE,only roars,TRUE,TRUE
t12172,2/3/16,KAK,,,Very,FALSE,Single hyena direct interaction with lions.,TRUE,FALSE
t12214,12/9/16,SSM,,,Somewhat,FALSE,lions not eating but there are intxs. Topi kill almost nothing left,TRUE,FALSE
t1238,1/25/19,kdsl,,,,FALSE,,TRUE,TRUE
t12433,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t1245,4/14/17,KAK,,,Somewhat,FALSE,Hyena never gets close to kill. Single direct interaction between lion and Sherlock.,TRUE,FALSE
t1247,1/25/19,kdsl,,,,FALSE,lions heard in dist,TRUE,TRUE
t12504,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t127.2,1/25/19,kdsl,,,,FALSE,,TRUE,TRUE
t1287,1/25/19,kdsl,,,,FALSE,,TRUE,TRUE
t12927,4/14/17,KAK,,,Very,FALSE,Lioness and cub present. Lioness has fresh wound on hip/buttock.  Hyenas mostly watching lions play.,TRUE,FALSE
t12939,1/29/16,LEM,,,Not at all,FALSE,hyenas are feeding and ignore the lions. Lions do not show further interest in hyenas or carcass.,TRUE,FALSE
t13099,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t13101,12/9/16,SSM,,,Not at all,FALSE,lion lv 6:39. at beggining male lion so 80m S,TRUE,FALSE
t1311,1/25/19,kdsl,,,,FALSE,,TRUE,TRUE
t13174,10/10/16,LEM,,,Not at all,TRUE,"Lion is present during the initial scan and then runs off. 
One hyena shows interest but is 75m away. Lion does not return once it runs off.",TRUE,FALSE
t13347,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t13412.2,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t13434,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t13436,10/10/16,LEM,,,Not at all,TRUE,"Lion seen surrounded by hyenas from a distance, but is not in the notes session. Lion leaves carcass before data is collected.",TRUE,FALSE
t135.2,8/3/17,KAK,15-Sep-17,KDSL,Very,FALSE,Time entries are off in the session. No kill present but lactating females remain close and interact with 2 playful lions. 03 bloody from a feeding.,TRUE,FALSE
t13536,2/3/16,MRB,,,Very,FALSE,"the hyenas and lions want the same carcass, remaining subadult lion eventually loses carcass to hyenas",TRUE,FALSE
t1360,12/21/18,ART,,,Not at all,FALSE,lions dispersed from topi kill made my hyenas at 200m,TRUE,TRUE
t1361,1/25/19,kdsl,,,,FALSE,"Lions only roar, never seen",TRUE,TRUE
t1365,1/25/19,kdsl,,,,FALSE,,TRUE,TRUE
t1369,1/25/19,kdsl,,,,FALSE,just roars,TRUE,TRUE
t1373,1/25/19,kdsl,,,,FALSE,heard not seen lions,TRUE,TRUE
t1374,1/25/19,kdsl,,,,FALSE,,TRUE,TRUE
t1386,12/14/16,LEM,,,Not at all,TRUE,"At initial scan, some hyenas bloody--it appears the lions stole the gnu carcass from them. Lions are only mentioned once in the beginning of the session. Hyenas never show interest in lions. I ended the session at the 6:49 scan, which is the last scan since the lions were mentioned.",TRUE,FALSE
t1388,1/25/19,kdsl,,,,FALSE,"roars, lions never seen",TRUE,TRUE
t1388.2,1/25/19,kdsl,,,,FALSE,,TRUE,TRUE
t1389,1/25/19,kdsl,,,,FALSE,,TRUE,TRUE
t14018,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t1411,1/25/19,kdsl,,,,FALSE,lions only heard,TRUE,TRUE
t14470.8,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t14471.4,12/21/18,ART,,,Very,FALSE,lions are feeding on a carcass and hyenas are around,TRUE,TRUE
t14480.6,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t14581,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t14626,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t14632,4/14/17,KAK,,,Very,FALSE,"Altercation over adult topi carcass (hyena kill) that lionesses win. Hyenas lose interest at the end and let the lionesses and carcass leave. Note that JAB (and other hyenas that previously left) probably made the kill, he's fat and bloody.",TRUE,FALSE
t1468.1,1/25/19,kdsl,,,,FALSE,,TRUE,TRUE
t14687.2,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t14743,1/23/16,CMF,,,Not at all,FALSE,"Nothing in this session indicates that the lioness is interested in the hyenas. She stands and scent marks at one point, which the hyenas react to, but nothing seems to be done in context of the hyenas",TRUE,FALSE
t1475.5,,,,,,FALSE,should be dropped,FALSE,FALSE
t1480.2,1/25/19,kdsl,,,,FALSE,,TRUE,TRUE
t14802.1,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t14815,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t14998.1,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t15042.2,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t15074.1,9/16/16,KAK,,,Very,FALSE,Lion steals kill from feeding hyena.,TRUE,FALSE
t15089.3,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t15102.2,1/20/19,kdsl,,,,FALSE,,TRUE,TRUE
t15103.1,2/20/16,Sam,,,Very,FALSE,There are multiple mobbings of the lions involving different hyenas.,TRUE,FALSE
t15106,4/25/17,Sam,,,Very,FALSE,"Lions on carcass, believe that originally a hyena kill that the lions stole",TRUE,FALSE
t15170,2/3/16,KAK,,,Not at all,FALSE,No interaction with lion because other animals present that are receiving more attention.,TRUE,FALSE
t1525.3,1/25/19,kdsl,,,,FALSE,,TRUE,TRUE
t15257.4,9/16/16,KAK,,,Very,FALSE,Single interaction with lion chasing the lone hyena away from the kill site.,TRUE,FALSE
t1529.1,1/25/19,kdsl,,,,FALSE,,TRUE,TRUE
t15304.2,1/29/16,LEM,,,Somewhat,FALSE,hyenas show interest and mob lion. Lioness ignores hyenas and continues to travel.,TRUE,FALSE
